epoch,train loss,validation loss
0,0.6107595278218502,0.5418505752929533
1,0.4970287005742659,0.569452080662403
2,0.4729742589324286,0.5436561312338318
3,0.44255023762872464,0.5339763722435794
4,0.4286230670973947,0.560979729549652
5,0.4011724360268359,0.5473987841445589
6,0.3644332826740117,0.5482949412832356
7,0.32678577813563875,0.5616394584427779
8,0.32186712702483616,0.593497775821172
9,0.263765306762014,0.5840649340891276
10,0.253591957074459,0.5935292209840383
11,0.2042708550568077,0.6165373616347007
12,0.17874452125880533,0.6379585976552482
13,0.15463414073944493,0.6510942958621465
14,0.13358065305181985,0.669208945850732
15,0.11015895160312099,0.6951825503347698
16,0.09510196209355573,0.714061704649267
17,0.08103381703657168,0.7282492400018454
18,0.07142045105969896,0.7929471755268598
19,0.0659788966040804,0.7714746520174072
