epoch,train loss,validation loss
0,0.6324617496917122,0.541472909472644
1,0.5210825296577655,0.5165584671859195
2,0.4857440794518119,0.5103883811635472
3,0.4718268355193891,0.509381796316594
4,0.43422598318677197,0.5161966617151618
5,0.41611064795443886,0.5135878068701212
6,0.38694631227066645,0.5327847296180451
7,0.3568947499174821,0.526022826288442
8,0.31531383288534065,0.5341060888304879
9,0.28709378006583763,0.5480456815099636
10,0.24841805617432847,0.585337255395082
11,0.22995859818709524,0.5991905369304283
12,0.20447519430361297,0.6482817069273976
13,0.15607127232928025,0.6363143024315923
14,0.1349308586246089,0.6489445979237355
15,0.10685472930732526,0.6827599962585893
16,0.09843216065670314,0.6918123206641984
17,0.07884055832028389,0.7343915112404558
18,0.06855900562123249,0.7477416243360175
19,0.057329415476635885,0.765931224742587
