epoch,train loss,validation loss
0,0.6430234188657058,0.5596083671005339
1,0.5101009629400153,0.4998499933523432
2,0.4792075777053833,0.4997263355259148
3,0.45419422905068646,0.5019920918631916
4,0.42671741878358943,0.5062581285658413
5,0.41011138140527825,0.5118310301742104
6,0.4015272462995429,0.5198892150922328
7,0.3562782738334254,0.5291920601819056
8,0.3152514980529484,0.5389622829816796
9,0.2927354090339259,0.5606446771758403
10,0.24407364369693554,0.5935986235511644
11,0.21853082006856014,0.6072652829437192
12,0.19232687852257177,0.6075843173074481
13,0.1632218852231377,0.6303513277742955
14,0.13151604744635131,0.6717505860087442
15,0.13419464374843396,0.6846598799875977
16,0.10690155070706418,0.7137105940365268
17,0.08230420149156922,0.7285943083578177
18,0.06850512985179298,0.7508734837551342
19,0.05765368287030019,0.7794004124895517
