epoch,train loss,validation loss
0,0.6348018746669291,0.5677078474651683
1,0.513443166956544,0.5321671452987876
2,0.4853769341937212,0.5278428596278233
3,0.45915046276519955,0.5207872829252622
4,0.42926205063227757,0.5258511455372127
5,0.4005390067208988,0.5264649619959821
6,0.3715049212683924,0.548183249203043
7,0.3327496746757398,0.580372006654338
8,0.29308806956065436,0.5801618365125624
9,0.27192580880692957,0.5941848099633098
10,0.23244463575167523,0.6119221034475448
11,0.19085996579802528,0.6364933233269136
12,0.16679167275480994,0.6912170806115725
13,0.1375135401893084,0.6810094100056272
14,0.11738733499112407,0.7242737039171084
15,0.09729500730045723,0.7841832749169282
16,0.08440059989615459,0.7764103456779763
17,0.06957624130823478,0.7961390877412224
18,0.06146769098805698,0.8315618782733827
19,0.05490366306717695,0.8856986566424772
