epoch,train loss,validation loss
0,0.6377348987716732,0.5271261260164306
1,0.521667150860588,0.4982840220133464
2,0.48482784834747666,0.5072304634534148
3,0.4592554632012545,0.49029730566422947
4,0.4338812610383986,0.49634576465947056
5,0.4060214927644416,0.5360954241319136
6,0.37217965365560896,0.5421993933141432
7,0.3354505944523173,0.5208139230907967
8,0.312388814238811,0.5488719592993508
9,0.28554531007929823,0.5543455367136483
10,0.2267424324629381,0.5795577156423318
11,0.1971108374619745,0.6046627390665639
12,0.16506551356755492,0.6387909129011109
13,0.1382797536139691,0.6567300718641441
14,0.11710421559608776,0.6880486521255288
15,0.09554395195106147,0.7132553753226695
16,0.08211472079396348,0.7558134441022519
17,0.06437167314390425,0.7766592671172787
18,0.05643882599628665,0.8176910054402721
19,0.05200145851189887,0.8600120592598963
